City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Clayton,12925.45,340,160957.67,2403,173883.12,2743,September,September 2022,2022,2022-11-04-145018,Texas
Gallup,126672.24,2843,500405.61,14844,627077.85,17687,September,September 2022,2022,2022-11-04-145018,
Los Alamos,28734.68,401,50212.78,1001,78947.46,1402,September,September 2022,2022,2022-11-04-145018,
Sunland Park,183145.32,3334,1368464.8,28494,1551610.12,31828,September,September 2022,2022,2022-11-04-145018,Texas
Carlsbad,339044.13,6786,817499.22,14756,1156543.35,21542,September,September 2022,2022,2022-11-04-145018,Texas
Deming,136643.23,3196,218212.23,6505,354855.46,9701,September,September 2022,2022,2022-11-04-145018,
Taos,158487.47,2886,402288.01,8852,560775.48,11738,September,September 2022,2022,2022-11-04-145018,
Lovington,11263.3,249,23769.09,575,35032.39,824,September,September 2022,2022,2022-11-04-145018,Texas
Placitas,25614.05,454,16594.56,465,42208.61,919,September,September 2022,2022,2022-11-04-145018,
Peralta,17424.5,543,28969.24,961,46393.74,1504,September,September 2022,2022,2022-11-04-145018,
Silver City,183226.24,4215,177719.57,4873,360945.81,9088,September,September 2022,2022,2022-11-04-145018,
